MutationsType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
CC>AA	0.73048081	0.00000215	0.00001758	0.00001503	0.00000000	0.00000000	0.00000829	0.00000661	0.00000071	0.00000000
CC>AG	0.06461847	0.00000000	0.00000000	0.00000369	0.22419740	0.00000000	0.02591369	0.00000634	0.00000000	0.05554190
CC>AT	0.09868636	0.00000000	0.00000000	0.00000000	0.03261745	0.04605249	0.29471854	0.01424732	0.00000333	0.00000000
CC>GA	0.00000722	0.00072244	0.11616418	0.00000744	0.00000141	0.02105989	0.00000000	0.02772145	0.00504706	0.00000000
CC>GG	0.00000000	0.00000000	0.00000000	0.00000534	0.00001705	0.00000941	0.00001292	0.00000238	0.00870196	0.02531215
CC>GT	0.00954260	0.00000000	0.02447773	0.00000000	0.00352000	0.02693450	0.00000000	0.00000000	0.03117193	0.00465944
CC>TA	0.00000000	0.00000045	0.01900926	0.00000543	0.08785604	0.00000186	0.00000000	0.00000000	0.00748219	0.00003917
CC>TG	0.00000000	0.00000000	0.00315705	0.00007233	0.02000636	0.00138601	0.00203417	0.00000000	0.00907845	0.01097589
CC>TT	0.00002819	0.00000000	0.00000000	0.00000000	0.23172492	0.04662632	0.03761693	0.00000000	0.00001644	0.00000000
CG>AT	0.00000017	0.00000982	0.00194881	0.00000000	0.00000074	0.00000035	0.00978945	0.00593920	0.00001695	0.00000579
CG>GC	0.00000113	0.00000390	0.00000149	0.00000328	0.00000259	0.00000187	0.00000202	0.00000362	0.00000184	0.00000429
CG>GT	0.00000150	0.00000185	0.00684268	0.00000263	0.00000135	0.00000056	0.00000000	0.00004975	0.00000264	0.00607964
CG>TA	0.00000000	0.00000769	0.00000118	0.00000079	0.00000320	0.00000582	0.01567103	0.00000794	0.00000233	0.00000007
CG>TC	0.00000021	0.00222110	0.00000007	0.00150583	0.00000005	0.00000018	0.00105064	0.00000259	0.00000684	0.00001866
CG>TT	0.01388507	0.00000000	0.00000000	0.00716817	0.01108264	0.00482162	0.00000000	0.00000251	0.00580945	0.00001939
CT>AA	0.00000680	0.00000184	0.00000324	0.00000000	0.00000428	0.00000270	0.00000089	0.00000201	0.00000504	0.34973149
CT>AC	0.00000587	0.00000000	0.00000432	0.00000000	0.01404173	0.00000000	0.00778041	0.04901339	0.00000000	0.00000000
CT>AG	0.00000000	0.00286278	0.01068026	0.00000139	0.00000000	0.00000000	0.03238640	0.03484700	0.01507633	0.02645819
CT>GA	0.00000021	0.00567938	0.00340008	0.00000000	0.00295854	0.00382013	0.00000000	0.00000000	0.00447512	0.02785006
CT>GC	0.00000000	0.00000281	0.00000112	0.00000000	0.01188001	0.00000041	0.00000190	0.01391582	0.00000591	0.00000619
CT>GG	0.00207746	0.00720478	0.00065408	0.00000000	0.00710877	0.00000000	0.00000000	0.00000000	0.00906911	0.00865848
CT>TA	0.00000111	0.00000000	0.02806435	0.02143513	0.03267128	0.00000000	0.00000313	0.00003041	0.02159274	0.00000000
CT>TC	0.00955025	0.00986049	0.00000000	0.00000000	0.00353625	0.00000000	0.01929773	0.02053345	0.01934073	0.00000000
CT>TG	0.00000041	0.00000000	0.03361531	0.00512703	0.00000000	0.00000169	0.00000000	0.00193496	0.01225479	0.00576188
GC>AA	0.00000000	0.00000034	0.00000000	0.71012924	0.00000332	0.00000000	0.00001707	0.00000065	0.00001214	0.00001176
GC>AG	0.00000000	0.01007852	0.01515107	0.00000000	0.03980388	0.00000601	0.00000000	0.15257923	0.02723572	0.00000000
GC>AT	0.00000000	0.06795256	0.01499227	0.01095995	0.00000000	0.04335346	0.00000000	0.01762519	0.02818550	0.03019662
GC>CA	0.00000000	0.00000219	0.05278736	0.00000061	0.00001980	0.00000250	0.00000204	0.00000242	0.05837211	0.00001217
GC>CG	0.00000005	0.00000708	0.00498098	0.00000169	0.00000207	0.00000231	0.00000000	0.00000147	0.00000000	0.00001175
GC>TA	0.00000000	0.00000000	0.03367862	0.00524511	0.00000000	0.00000059	0.01185212	0.00000000	0.00000000	0.01188881
TA>AT	0.00000000	0.06133877	0.00000516	0.00000087	0.00000209	0.00000247	0.00000234	0.00000421	0.00000076	0.10762208
TA>CG	0.00000666	0.00000183	0.00000000	0.00415522	0.00000046	0.00030303	0.00000105	0.00000065	0.00000076	0.00113827
TA>CT	0.00000000	0.01517569	0.00495748	0.01033683	0.00337413	0.00000000	0.05912824	0.00000000	0.01904872	0.00000000
TA>GC	0.00000004	0.00002353	0.00054380	0.00101246	0.00000000	0.00000382	0.00000066	0.00000082	0.00001129	0.00000078
TA>GG	0.00000054	0.00855225	0.00000070	0.00000022	0.00201732	0.00001598	0.00000000	0.00000061	0.00189303	0.00099233
TA>GT	0.00001628	0.00000000	0.00000695	0.00187763	0.00475160	0.00972107	0.00000774	0.02298998	0.00000000	0.00251593
TC>AA	0.00593679	0.71242356	0.00000373	0.04773591	0.00000000	0.01752494	0.01139382	0.04219836	0.04171562	0.00000529
TC>AG	0.00000000	0.00000176	0.00000002	0.00016403	0.08717492	0.04836594	0.05267184	0.00000388	0.00000000	0.00000313
TC>AT	0.00000000	0.00000010	0.00000000	0.00000287	0.00000000	0.59588779	0.00000328	0.00000470	0.00001237	0.00001131
TC>CA	0.00000000	0.00000653	0.00000274	0.00001136	0.00000000	0.00000263	0.00000000	0.00000140	0.47796377	0.00000000
TC>CG	0.00000000	0.00000329	0.00000151	0.00000679	0.00000247	0.00311342	0.00504271	0.00000086	0.01185574	0.00442680
TC>CT	0.00000000	0.00000000	0.03580317	0.00000511	0.00001907	0.00000000	0.00000365	0.12346432	0.01961413	0.00000000
TC>GA	0.00000478	0.00000343	0.04007517	0.00629371	0.02449010	0.00000000	0.13281813	0.04668890	0.01377318	0.00001240
TC>GG	0.00000000	0.00001389	0.00000079	0.00138462	0.00000091	0.01576089	0.00416124	0.00000204	0.00000000	0.00662647
TC>GT	0.00000321	0.00000295	0.00000515	0.00000000	0.01411504	0.03554469	0.00000686	0.00000000	0.00000000	0.02985200
TG>AA	0.01024123	0.01229957	0.00480819	0.00000000	0.01188901	0.02511361	0.01945381	0.00000000	0.02169794	0.00000000
TG>AC	0.00000208	0.00000000	0.00948890	0.00000417	0.00000058	0.00000058	0.00000021	0.00000000	0.01416991	0.01845281
TG>AT	0.00000360	0.00000349	0.00000000	0.00264629	0.00000000	0.00000485	0.03214480	0.16871673	0.00000000	0.11886213
TG>CA	0.00004174	0.00001086	0.05523082	0.00000253	0.00000318	0.00000000	0.00000160	0.00000000	0.00000000	0.00000345
TG>CC	0.00000478	0.00000818	0.00439489	0.00000000	0.00000138	0.00276350	0.01352855	0.00544008	0.00000000	0.00384940
TG>CT	0.00000000	0.00000000	0.36978957	0.00000000	0.00000000	0.00000000	0.01382549	0.00000000	0.06583124	0.00001413
TG>GA	0.00000044	0.01490150	0.00000000	0.01920313	0.00000503	0.00000129	0.00000000	0.00000786	0.00000319	0.00000196
TG>GC	0.00000018	0.00000430	0.00000000	0.00953069	0.00000000	0.00000000	0.00000042	0.00000487	0.00289548	0.00000126
TG>GT	0.01252718	0.00000000	0.03309386	0.01765405	0.00000000	0.00000000	0.00000220	0.00000000	0.00000000	0.02948568
TT>AA	0.02338501	0.00000245	0.00000000	0.00642950	0.01956971	0.00039865	0.00000000	0.02260809	0.01756849	0.07047894
TT>AC	0.00363956	0.00000000	0.00000000	0.01840221	0.00179790	0.00000360	0.00000000	0.00881959	0.00000000	0.00000000
TT>AG	0.00000000	0.00150799	0.00001114	0.00000199	0.01686120	0.00000000	0.00000000	0.03169381	0.00745688	0.00000000
TT>CA	0.00769458	0.00000067	0.00000000	0.00000000	0.02331978	0.00000234	0.00000071	0.00467688	0.00000203	0.00000360
TT>CC	0.00000308	0.00001247	0.00000205	0.00000113	0.01181544	0.00000000	0.01267778	0.00000638	0.00000000	0.00000122
TT>CG	0.00000024	0.00000000	0.00000087	0.00153483	0.00000660	0.00149547	0.00000000	0.00289364	0.00000000	0.00000274
TT>GA	0.00000986	0.00000000	0.00400506	0.00000000	0.00000000	0.00494303	0.00484005	0.00000000	0.00542833	0.01433959
TT>GC	0.00001347	0.00000169	0.00000023	0.00364029	0.00000251	0.00000013	0.00000050	0.00701484	0.00002978	0.00000075
TT>GG	0.00000000	0.00000094	0.00000049	0.00000063	0.00500177	0.00000090	0.00176367	0.00487749	0.00000000	0.00477949
